product_name,sku,state,type,display_on_ui,description,council,provider_name,provider_id,cost,retail_price,gst_option,gst_amount,fulfillment_method,status,required_data_buyer,required_data_seller
R T Breen & Co - Owners Corporation Certificate,VICOCOWNERSCORPV719,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from R T Breen & Co for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,R T Breen & Co,2cafaf58-dd98-48f2-b559-945d9533a863,,,normal_gst_10,,Manual,active,,
Miles Estate - Owners Corporation Certificate,VICOCOWNERSCORPV720,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Miles Estate for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Miles Estate,33fc55a4-9255-47e5-ae96-359854f4103b,,,normal_gst_10,,Manual,active,,
HWL Ebsworth - Owners Corporation Certificate,VICOCOWNERSCORPV721,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from HWL Ebsworth for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,HWL Ebsworth,4ab0c74c-dc4b-4bf2-a86c-8b9e1b905d03,,,normal_gst_10,,Manual,active,,
CRS Property - Owners Corporation Certificate,VICOCOWNERSCORPV722,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from CRS Property for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,CRS Property,a9c19444-5c0e-4ee5-becb-d6a0a69e3d41,,,normal_gst_10,,Manual,active,,
Cameron Industrial Commercial - Owners Corporation Certificate,VICOCOWNERSCORPV723,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Cameron Industrial Commercial for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Cameron Industrial Commercial,cfdfaf3d-7298-416f-ba24-97f2609fb745,,,normal_gst_10,,Manual,active,,
E.J. Love - Owners Corporation Certificate,VICOCOWNERSCORPV724,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from E.J. Love for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,E.J. Love,2a4c5611-5400-441c-b93e-188ca4d40292,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Individual/Personal Proprietor Name Search,VICGOVINDPERSPROPRIETORNAMESRCH2V33,VIC,State_government,true,"Order the Individual/Personal Proprietor Name Search from VIC LANDATA for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Property Address Search,VICGOVPROPADDRSRCH2V33,VIC,State_government,true,"Order the Property Address Search from VIC LANDATA for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
McLaren Real Estate Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV725,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from McLaren Real Estate Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,McLaren Real Estate Pty Ltd,a4cc0580-c4b6-402b-bfbb-da7483eb65ff,,,normal_gst_10,,Manual,active,,
Alliance Owners Corporation Management - Mornington - Owners Corporation Certificate,VICOCMORNINGTONOWNERSCORPV586,VIC,BodyCorp,true,"Order the Mornington - Owners Corporation Certificate from Alliance Owners Corporation Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Alliance Owners Corporation Management,1fa57627-e344-42d8-ac40-48e03ef50f1d,,,normal_gst_10,,Manual,active,,
Select Owners Corp Management (St Bowden management Pty Ltd) - Owners Corporation Certificate,VICOCOWNERSCORPV726,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Select Owners Corp Management (St Bowden management Pty Ltd) for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Select Owners Corp Management (St Bowden management Pty Ltd),d2a1b8bb-0782-43da-a3e2-63bc0f8a2ad3,,,normal_gst_10,,Manual,active,,
Alma Body Corporate - Owners Corporation Certificate,VICOCOWNERSCORPV727,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Alma Body Corporate for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Alma Body Corporate,ca7c150e-fa13-44cf-9710-cb16c58342a0,,,normal_gst_10,,Manual,active,,
Campbell Corporate Services - Urgent within 2 days Owners Corporation Certificate,VICOCURG2DOWNERSCORPV728,VIC,BodyCorp,true,"Order the Urgent within 2 days Owners Corporation Certificate from Campbell Corporate Services for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents. This is an urgent service option with the stated 2 day timeframe.",ALL,Campbell Corporate Services,67ea391c-63d1-44dd-83ee-492180a9d2de,,,normal_gst_10,,Manual,active,,
Campbell Corporate Services - Owners Corporation Certificate,VICOCOWNERSCORPV728,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Campbell Corporate Services for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Campbell Corporate Services,67ea391c-63d1-44dd-83ee-492180a9d2de,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Volume and Folio Number Search,VICGOVVOLUMEANDFOLIONUMBERSRCH2V33,VIC,State_government,true,"Order the Volume and Folio Number Search from VIC LANDATA for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
VIC LANDATA - Title Search,VICGOVTITLESRCH2V33,VIC,State_government,true,"Order the Title Search from VIC LANDATA for a Victorian property. A current Victorian title search can show registered proprietors, the land description, encumbrances such as mortgages or caveats, and the source of the property diagram.",ALL,VIC LANDATA,722417f3-d6a9-4e50-8e67-30b67d98297d,,,normal_gst_10,,Manual,active,,
Arrow on Swanston - Owners Corporation Certificate,VICOCOWNERSCORPV729,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Arrow on Swanston for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Arrow on Swanston,6b1b06e3-4688-4a85-9171-bb358e37fbcc,,,normal_gst_10,,Manual,active,,
BFG Asset Management - Owners Corporation Certificate,VICOCOWNERSCORPV730,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from BFG Asset Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,BFG Asset Management,ecd8e036-e8c4-4e7d-ac13-707f85c4b1f4,,,normal_gst_10,,Manual,active,,
Harcourts Croydon - Owners Corporation Certificate,VICOCOWNERSCORPV731,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Harcourts Croydon for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Harcourts Croydon,8f1eb21b-5e7b-49da-bef1-0cddbc0a9196,,,normal_gst_10,,Manual,active,,
Orco Projects Pty Ltd - Owners Corporation Certificate,VICOCOWNERSCORPV732,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Orco Projects Pty Ltd for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Orco Projects Pty Ltd,2caa69b9-3683-4975-8b9f-029278cef9e6,,,normal_gst_10,,Manual,active,,
All Stars Owners Corporation Management - Owners Corporation Certificate,VICOCOWNERSCORPV733,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from All Stars Owners Corporation Management for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,All Stars Owners Corporation Management,c2e2edeb-fdc7-4deb-93ea-2c531edcbabb,,,normal_gst_10,,Manual,active,,
Alliance Owners Corporation Management- Tarneit - Owners Corporation Certificate,VICOCOWNERSCORPV734,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Alliance Owners Corporation Management- Tarneit for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Alliance Owners Corporation Management- Tarneit,0b44fd67-d3bb-42f5-9406-c05357c4a929,,,normal_gst_10,,Manual,active,,
Georgiana Terrace Body Corporate - Owners Corporation Certificate,VICOCOWNERSCORPV735,VIC,BodyCorp,true,"Order the Owners Corporation Certificate from Georgiana Terrace Body Corporate for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Georgiana Terrace Body Corporate,077e276a-880d-435e-a888-4252ab6389a9,,,normal_gst_10,,Manual,active,,
Love Real Estate - Reservoir - Owners Corporation Certificate,VICOCRESERVOIROWNERSCORPV174,VIC,BodyCorp,true,"Order the Reservoir - Owners Corporation Certificate from Love Real Estate for a Victorian property. An owners corporation certificate summarises lot fees and unpaid amounts, levies, insurance, funds, liabilities, contracts, notices, legal proceedings and management details, with the required supporting documents.",ALL,Love Real Estate,8d938dd7-924d-492c-a9cc-fec85e37723a,,,normal_gst_10,,Manual,active,,
